Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,139210,-,-,-,19.42,-155.23,0,1154,-10,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,DHI,DNI,GHI,Solar Zenith Angle
2023,1,1,0,0,85,940,708,201,0,201,48.46
2023,1,1,0,10,84,934,688,178,0,178,49.69
2023,1,1,0,20,83,928,667,158,0,158,51
2023,1,1,0,30,82,920,643,140,0,140,52.38
2023,1,1,0,40,83,906,617,124,0,124,53.85
2023,1,1,0,50,81,896,590,110,0,110,55.38
2023,1,1,1,0,80,885,562,97,0,97,56.980000000000004
2023,1,1,1,10,78,873,533,91,0,91,58.63
2023,1,1,1,20,77,859,502,84,0,84,60.33
2023,1,1,1,30,75,844,470,78,0,78,62.09
2023,1,1,1,40,73,825,436,71,0,71,63.89
2023,1,1,1,50,71,805,402,65,0,65,65.73
2023,1,1,2,0,68,783,367,58,0,58,67.6
2023,1,1,2,10,66,757,331,51,0,51,69.51
2023,1,1,2,20,63,728,294,45,0,45,71.45
2023,1,1,2,30,59,694,257,38,0,38,73.42
2023,1,1,2,40,56,650,220,32,0,32,75.41
2023,1,1,2,50,52,602,183,26,0,26,77.43
2023,1,1,3,0,47,543,146,21,0,21,79.47
2023,1,1,3,10,42,474,111,16,0,16,81.52
2023,1,1,3,20,35,389,79,11,0,11,83.58
2023,1,1,3,30,27,287,49,7,0,7,85.64
2023,1,1,3,40,18,179,25,4,0,4,87.68
2023,1,1,3,50,0,0,0,0,0,0,89.63
2023,1,1,4,0,0,0,0,0,0,0,92.22
2023,1,1,4,10,0,0,0,0,0,0,94.38
2023,1,1,4,20,0,0,0,0,0,0,96.56
2023,1,1,4,30,0,0,0,0,0,0,98.75
2023,1,1,4,40,0,0,0,0,0,0,100.94
2023,1,1,4,50,0,0,0,0,0,0,103.15
2023,1,1,5,0,0,0,0,0,0,0,105.37
2023,1,1,5,10,0,0,0,0,0,0,107.60000000000001
2023,1,1,5,20,0,0,0,0,0,0,109.83
2023,1,1,5,30,0,0,0,0,0,0,112.07000000000001
2023,1,1,5,40,0,0,0,0,0,0,114.32000000000001
2023,1,1,5,50,0,0,0,0,0,0,116.58
2023,1,1,6,0,0,0,0,0,0,0,118.84
2023,1,1,6,10,0,0,0,0,0,0,121.10000000000001
2023,1,1,6,20,0,0,0,0,0,0,123.37
2023,1,1,6,30,0,0,0,0,0,0,125.65
2023,1,1,6,40,0,0,0,0,0,0,127.93
2023,1,1,6,50,0,0,0,0,0,0,130.21
2023,1,1,7,0,0,0,0,0,0,0,132.5
2023,1,1,7,10,0,0,0,0,0,0,134.79
2023,1,1,7,20,0,0,0,0,0,0,137.08
2023,1,1,7,30,0,0,0,0,0,0,139.38
2023,1,1,7,40,0,0,0,0,0,0,141.67000000000002
2023,1,1,7,50,0,0,0,0,0,0,143.97
2023,1,1,8,0,0,0,0,0,0,0,146.27
