solartime,temp,site_elev,rh,dlw,ghi_m,Clearsky DHI,Clearsky DNI,Clearsky GHI,DHI,DNI,GHI,Solar Zenith Angle,actual_epsilon,epsilon_clear_sky,CF,predicted_epsilon
2022-11-15 00:00:00,25.61,4.8768,77.52,375.4,713.6,85,900,698,85,900,698,47.08,0.8310390018529181,0.861607757298719,0.004197545408138659,0.8621886650215917
2022-11-15 00:10:00,25.81,4.8768,77.53,387.2,731.0,84,894,678,84,894,678,48.36,0.8548697514854801,0.8631813895930124,0.0052493008238075345,0.863899591637334
2022-11-15 00:20:00,25.67,4.8768,77.62,388.3,683.3,83,888,657,83,888,657,49.73,0.8589060977551655,0.8622430647178657,0.006456667490650492,0.8631325154435134
2022-11-15 00:30:00,25.73,4.8768,77.63,381.9,530.3,82,880,634,82,880,634,51.18,0.8440713924794788,0.8627271856692486,0.007939865222518605,0.8638171133137504
2022-11-15 00:40:00,25.92,4.8768,76.91,377.3,606.0,81,871,609,81,871,609,52.71,0.8317874116718248,0.8629823373300024,0.009741822259588417,0.8643171390461578
2022-11-15 00:50:00,25.93,4.8768,75.96,382.5,230.0,79,862,582,79,862,582,54.3,0.8431384453984403,0.8614299794765068,0.011079733705483985,0.8629652984034706
2022-11-15 01:00:00,25.46,4.8768,78.13,401.6,195.7,78,851,555,78,851,555,55.95,0.8908267614048938,0.8614678420799241,0.013418805546609403,0.8633267781690059
2022-11-15 01:10:00,25.54,4.8768,76.94,389.1,514.4,76,839,526,76,839,526,57.65,0.8621750291971071,0.860085770289333,0.015331152616082866,0.8622308166981889
2022-11-15 01:20:00,25.4,4.8768,76.1,371.4,73.36,75,826,495,75,826,495,59.41,0.8244997692569369,0.8575877621916664,0.018715909030935618,0.8602531366793791
2022-11-15 01:30:00,24.9,4.8768,78.35,372.4,70.66,73,811,463,73,811,463,61.22,0.832281246146837,0.8575053118574935,0.021657272840680697,0.8605913581969433
2022-11-15 01:40:00,24.77,4.8768,78.63,376.4,317.7,71,794,431,71,794,431,63.06,0.8426901520740079,0.8569658251268227,0.025011958888036534,0.8605433900283349
2022-11-15 01:50:00,25.29,4.8768,76.61,379.5,119.4,69,776,397,69,776,397,64.95,0.8437243752211334,0.8576055120041276,0.029283535218757928,0.8617753260083117
2022-11-15 02:00:00,24.92,4.8768,78.44,378.2,98.9,66,754,363,66,754,363,66.87,0.8450169010673233,0.8578070347499683,0.033027116593446204,0.8625032583920491
2022-11-15 02:10:00,24.95,4.8768,78.94,378.9,171.9,64,730,327,64,730,327,68.82000000000001,0.8462401803892973,0.8588592647145213,0.03945578974973368,0.8644280838910681
2022-11-15 02:20:00,24.96,4.8768,78.14,366.0,300.1,61,702,292,61,702,292,70.81,0.8173194768413629,0.8576206509287475,0.04548380720019768,0.8640966057911939
2022-11-15 18:20:00,21.09,4.8768,88.1,364.3,325.2,66,670,274,66,670,274,71.93,0.8571745434117535,0.8433156489079787,0.059847129520894105,0.8526927575616802
2022-11-15 18:30:00,21.96,4.8768,85.9,337.5,304.4,70,702,310,70,702,310,69.94,0.7847928069369244,0.8467415971855038,0.05311949341268418,0.8548826059042469
2022-11-15 18:40:00,22.4,4.8768,84.7,338.8,331.0,74,726,346,74,726,346,67.98,0.7831347368423062,0.8483172153603394,0.04773876640436986,0.8555583643838165
2022-11-15 18:50:00,23.3,4.8768,76.1,351.5,341.1,77,750,381,77,750,381,66.05,0.8026689286418733,0.8418771206887566,0.042381210604033825,0.8485785597381628
2022-11-15 19:00:00,23.85,4.8768,71.76,365.9,413.5,79,772,416,79,772,416,64.15,0.8293799903003044,0.8388024342917328,0.036776130418580744,0.8447306569913778
2022-11-15 19:10:00,24.27,4.8768,70.94,351.1,410.8,82,791,450,82,791,450,62.29,0.7913472425835452,0.8404474584657001,0.03321510405059519,0.8457470127342988
2022-11-15 19:20:00,24.48,4.8768,68.62,343.2,464.0,84,808,482,84,808,482,60.47,0.771360512824715,0.8379742081968142,0.029504005583638304,0.8427546180628689
2022-11-15 19:30:00,24.65,4.8768,69.43,346.1,512.5,86,823,514,86,823,514,58.69,0.776103722942324,0.8405957445242734,0.02623181735592106,0.8447772078396693
2022-11-15 19:40:00,24.64,4.8768,67.55,351.0,555.5,88,837,544,88,837,544,56.96,0.7871973412464953,0.8372438869411928,0.023605569207289345,0.8410858376319119
2022-11-15 19:50:00,24.91,4.8768,69.28,380.3,682.4,90,849,573,90,849,573,55.29,0.8498229945103165,0.8422094204665677,0.02137158935317257,0.8455816559361553
2022-11-15 20:00:00,24.86,4.8768,68.75,376.0,390.5,91,859,601,91,859,601,53.67,0.8407781874628224,0.84092103622408,0.018667533168716055,0.8438906480568119
2022-11-15 20:10:00,24.48,4.8768,71.04,379.0,227.9,93,869,627,93,869,627,52.12,0.851822943941046,0.8421356341337566,0.017183085966043565,0.8448482311034112
2022-11-15 20:20:00,24.16,4.8768,71.12,379.7,203.3,94,878,651,94,878,651,50.64,0.8570762694090027,0.8399593251057654,0.01528596670797977,0.8424057015341213
2022-11-15 20:30:00,24.21,4.8768,72.42,394.0,544.7,96,885,674,96,885,674,49.24,0.8887568695479862,0.8425068146531356,0.014337125282946561,0.844764814182664
2022-11-15 20:40:00,24.78,4.8768,67.4,382.8,253.3,84,921,701,84,921,701,47.92,0.8569035139527859,0.8379738649091224,0.003227353788335663,0.8384967805700174
2022-11-15 20:50:00,24.55,4.8768,66.98,384.1,266.7,84,926,720,84,926,720,46.68,0.8624737972635798,0.8356053189787561,0.001646589269868104,0.8358760094965492
2022-11-15 21:00:00,25.1,4.8768,65.47,355.9,757.1,85,934,739,85,934,739,45.55,0.7932738163684719,0.8367906394775301,0.0008207509938840118,0.83692459372239
2022-11-15 21:10:00,25.4,4.8768,66.06,384.6,823.0,86,938,755,86,938,755,44.52,0.8538034767264889,0.839989117587591,0.0002613364875636015,0.8400309342695726
2022-11-15 21:20:00,25.4,4.8768,67.98,369.0,824.0,86,942,768,86,942,768,43.61,0.8191718224442912,0.8434529597344872,-0.0007099212632218355,0.8433418236619081
2022-11-15 21:30:00,24.93,4.8768,67.92,369.9,326.5,87,945,780,87,945,780,42.81,0.8263612087149365,0.8399626095077941,-0.0009323085823406685,0.8398134052751429
